DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),DOXY (millimole/m3),PRES (decibar),PSAL (psu),TEMP (degree_Celsius)
2024-05-03T08:45:40Z,13.511,88.512,396.7329463,1.839,380,35.0465,10.8756
2024-05-03T08:45:40Z,13.511,88.512,402.2525399,1.749,385,35.046,10.8243
2024-05-03T08:45:40Z,13.511,88.512,407.7721335,1.535,390,35.0462,10.773
2024-05-03T08:45:40Z,13.511,88.512,413.2917271,1.448,395,35.0461,10.7376
2024-05-03T08:45:40Z,13.511,88.512,418.8113208,1.461,400,35.0458,10.7032
2024-05-03T08:45:40Z,13.511,88.512,424.3309144,1.507,405,35.0461,10.6544
2024-05-03T08:45:40Z,13.511,88.512,429.850508,1.511,410,35.0455,10.6168
2024-05-03T08:45:40Z,13.511,88.512,435.3701016,1.705,415,35.0456,10.5758
2024-05-03T08:45:40Z,13.511,88.512,440.8896952,1.808,420,35.0451,10.5288
2024-05-03T08:45:40Z,13.511,88.512,446.4092888,1.985,425,35.0449,10.4841
2024-05-03T08:45:40Z,13.511,88.512,451.9288824,1.733,430,35.0447,10.4509
2024-05-03T08:45:40Z,13.511,88.512,457.4484761,1.824,435,35.0443,10.4036
2024-05-03T08:45:40Z,13.511,88.512,462.9680697,2.096,440,35.0438,10.3557
2024-05-03T08:45:40Z,13.511,88.512,468.4876633,2.188,445,35.0433,10.3146
2024-05-03T08:45:40Z,13.511,88.512,474.0072569,2.22,450,35.0427,10.2579
2024-05-03T08:45:40Z,13.511,88.512,479.5268505,2.444,455,35.043,10.2162
2024-05-03T08:45:40Z,13.511,88.512,485.0464441,2.57,460,35.0427,10.1772
2024-05-03T08:45:40Z,13.511,88.512,490.5660377,2.62,465,35.0421,10.1427
2024-05-03T08:45:40Z,13.511,88.512,496.0856313,2.805,470,35.0418,10.0985
2024-05-03T08:45:40Z,13.511,88.512,501.605225,2.921,475,35.0411,10.0664
2024-05-03T08:45:40Z,13.511,88.512,507.1248186,3.002,480,35.0406,10.0208
2024-05-03T08:45:40Z,13.511,88.512,512.6444122,3.416,485,35.0403,9.9906
2024-05-03T08:45:40Z,13.511,88.512,518.1640058,3.444,490,35.0396,9.9782
2024-05-03T08:45:40Z,13.511,88.512,523.6835994,3.463,495,35.039,9.931
2024-05-03T08:45:40Z,13.511,88.512,529.203193,3.708,500,35.0385,9.8722
2024-05-03T08:45:40Z,13.511,88.512,534.7227866,4.038,505,35.0376,9.8214
2024-05-03T08:45:40Z,13.511,88.512,540.2423803,3.83,510,35.0366,9.7809
2024-05-03T08:45:40Z,13.511,88.512,545.7619739,3.922,515,35.036,9.7537
2024-05-03T08:45:40Z,13.511,88.512,551.2815675,4.257,520,35.0355,9.7223
2024-05-03T08:45:40Z,13.511,88.512,556.8011611,4.498,525,35.0352,9.6826
2024-05-03T08:45:40Z,13.511,88.512,562.3207547,4.997,530,35.0343,9.6394
2024-05-03T08:45:40Z,13.511,88.512,567.8403483,4.523,535,35.0331,9.5945
2024-05-03T08:45:40Z,13.511,88.512,573.3599419,4.615,540,35.032,9.5509
2024-05-03T08:45:40Z,13.511,88.512,578.8795356,6.011,545,35.0292,9.5101
2024-05-03T08:45:40Z,13.511,88.512,584.3991292,6.862,550,35.0274,9.4671
2024-05-03T08:45:40Z,13.511,88.512,589.9187228,7.22,555,35.0265,9.4219
2024-05-03T08:45:40Z,13.511,88.512,595.4383164,7.274,560,35.0259,9.3874
2024-05-03T08:45:40Z,13.511,88.512,600.95791,7.525,565,35.0249,9.3566
2024-05-03T08:45:40Z,13.511,88.512,606.4775036,8.04,570,35.0241,9.3332
2024-05-03T08:45:40Z,13.511,88.512,611.9970972,8.264,575,35.0234,9.2921
2024-05-03T08:45:40Z,13.511,88.512,617.5166909,8.402,580,35.0221,9.2433
2024-05-03T08:45:40Z,13.511,88.512,623.0362845,8.844,585,35.0212,9.2098
2024-05-03T08:45:40Z,13.511,88.512,628.5558781,8.781,590,35.0203,9.1771
2024-05-03T08:45:40Z,13.511,88.512,634.0754717,9.463,595,35.0191,9.1297
2024-05-03T08:45:40Z,13.511,88.512,639.5950653,9.825,600,35.0181,9.0878
2024-05-03T08:45:40Z,13.511,88.512,645.1146589,10.185,605,35.0172,9.0565
2024-05-03T08:45:40Z,13.511,88.512,650.6342525,10.684,610,35.0163,9.0276
2024-05-03T08:45:40Z,13.511,88.512,656.1538462,10.724,615,35.0156,8.995
2024-05-03T08:45:40Z,13.511,88.512,661.6734398,11.095,620,35.015,8.9672
2024-05-03T08:45:40Z,13.511,88.512,667.1930334,11.321,625,35.0143,8.9331
2024-05-03T08:45:40Z,13.511,88.512,672.712627,11.311,630,35.0139,8.9048
2024-05-03T08:45:40Z,13.511,88.512,678.2322206,11.579,635,35.0126,8.8681
2024-05-03T08:45:40Z,13.511,88.512,683.7518142,12.015,640,35.0115,8.8152
2024-05-03T08:45:40Z,13.511,88.512,689.2714078,12.98,645,35.0102,8.7584
2024-05-03T08:45:40Z,13.511,88.512,694.7910015,13.304,650,35.0092,8.73
2024-05-03T08:45:40Z,13.511,88.512,700.3105951,13.281,655,35.0084,8.7077
2024-05-03T08:45:40Z,13.511,88.512,705.8301887,13.687,660,35.0077,8.6726
2024-05-03T08:45:40Z,13.511,88.512,711.3497823,14.445,665,35.0068,8.6411
2024-05-03T08:45:40Z,13.511,88.512,716.8693759,14.639,670,35.0057,8.6022
2024-05-03T08:45:40Z,13.511,88.512,722.3889695,14.901,675,35.0048,8.5743
2024-05-03T08:45:40Z,13.511,88.512,727.9085631,15.017,680,35.0042,8.5525
2024-05-03T08:45:40Z,13.511,88.512,733.4281567,15.239,685,35.0033,8.5171
2024-05-03T08:45:40Z,13.511,88.512,738.9477504,15.564,690,35.0023,8.4914
2024-05-03T08:45:40Z,13.511,88.512,744.467344,15.813,695,35.0015,8.4598
2024-05-03T08:45:40Z,13.511,88.512,749.9869376,16.545,700,35.0007,8.441
2024-05-03T08:45:40Z,13.511,88.512,755.5065312,16.627,705,35.0002,8.4286
2024-05-03T08:45:40Z,13.511,88.512,761.0261248,16.966,710,34.9995,8.3887
2024-05-03T08:45:40Z,13.511,88.512,766.5457184,17.145,715,34.9988,8.3668
2024-05-03T08:45:40Z,13.511,88.512,772.065312,17.327,720,34.998,8.3403
2024-05-03T08:45:40Z,13.511,88.512,777.5849057,17.275,725,34.997,8.3037
2024-05-03T08:45:40Z,13.511,88.512,783.1044993,17.496,730,34.9961,8.2735
2024-05-03T08:45:40Z,13.511,88.512,788.6240929,17.6,735,34.9952,8.2444
2024-05-03T08:45:40Z,13.511,88.512,794.1436865,18.552,740,34.9941,8.2099
2024-05-03T08:45:40Z,13.511,88.512,799.6632801,18.783,745,34.9933,8.1813
2024-05-03T08:45:40Z,13.511,88.512,805.1828737,18.994,750,34.9932,8.1567
2024-05-03T08:45:40Z,13.511,88.512,810.7024673,19.308,755,34.9928,8.1286
2024-05-03T08:45:40Z,13.511,88.512,816.222061,19.555,760,34.9924,8.1027
2024-05-03T08:45:40Z,13.511,88.512,821.7416546,19.57,765,34.9918,8.0761
2024-05-03T08:45:40Z,13.511,88.512,827.2612482,19.595,770,34.9909,8.0408
2024-05-03T08:45:40Z,13.511,88.512,832.7808418,19.689,775,34.9899,8.0049
2024-05-03T08:45:40Z,13.511,88.512,838.3004354,20.158,780,34.989,7.9716
2024-05-03T08:45:40Z,13.511,88.512,843.820029,20.559,785,34.9883,7.9529
2024-05-03T08:45:40Z,13.511,88.512,849.3396226,20.799,790,34.9874,7.9245
2024-05-03T08:45:40Z,13.511,88.512,854.8592163,21.091,795,34.9865,7.8874
2024-05-03T08:45:40Z,13.511,88.512,860.3788099,21.706,800,34.9851,7.8368
2024-05-03T08:45:40Z,13.511,88.512,865.8984035,22.121,805,34.9841,7.8092
2024-05-03T08:45:40Z,13.511,88.512,871.4179971,22.339,810,34.9828,7.7735
2024-05-03T08:45:40Z,13.511,88.512,876.9375907,22.62,815,34.9814,7.7354
2024-05-03T08:45:40Z,13.511,88.512,882.4571843,22.599,820,34.9802,7.6985
2024-05-03T08:45:40Z,13.511,88.512,887.9767779,22.718,825,34.9793,7.6745
2024-05-03T08:45:40Z,13.511,88.512,893.4963716,24.236,830,34.9783,7.6404
2024-05-03T08:45:40Z,13.511,88.512,899.0159652,24.307,835,34.977,7.6089
2024-05-03T08:45:40Z,13.511,88.512,904.5355588,24.783,840,34.9759,7.582
2024-05-03T08:45:40Z,13.511,88.512,910.0551524,25.655,845,34.974,7.5392
2024-05-03T08:45:40Z,13.511,88.512,915.574746,27.017,850,34.9729,7.5056
2024-05-03T08:45:40Z,13.511,88.512,921.0943396,26.451,855,34.9727,7.4703
2024-05-03T08:45:40Z,13.511,88.512,926.6139332,26.131,860,34.9725,7.4616
2024-05-03T08:45:40Z,13.511,88.512,932.1335269,26.02,865,34.972,7.448
2024-05-03T08:45:40Z,13.511,88.512,937.6531205,26.279,870,34.9712,7.4092
2024-05-03T08:45:40Z,13.511,88.512,943.1727141,26.929,875,34.9705,7.3919
